类别,precision,recall,f1-score,support,accuracy
乌鸦,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,0.8333333333333334
乌龟,0.9230769230769231,1.0,0.9600000000000001,12.0,1.0
仓鼠,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,0.9166666666666666
企鹅,1.0,1.0,1.0,12.0,1.0
兔子,1.0,1.0,1.0,12.0,1.0
刺猬,1.0,0.8333333333333334,0.9090909090909091,12.0,0.8333333333333334
啄木鸟,0.9230769230769231,1.0,0.9600000000000001,12.0,1.0
土狼,0.8181818181818182,0.75,0.7826086956521738,12.0,0.75
大猩猩,1.0,1.0,1.0,12.0,1.0
大象,1.0,1.0,1.0,12.0,1.0
奶牛,0.6153846153846154,0.6666666666666666,0.64,12.0,0.6666666666666666
山羊,0.6923076923076923,0.75,0.7199999999999999,12.0,0.75
斑马,1.0,1.0,1.0,12.0,1.0
松鼠,0.8461538461538461,0.9166666666666666,0.8799999999999999,12.0,0.9166666666666666
毛毛虫,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,0.8333333333333334
水母,1.0,1.0,1.0,12.0,1.0
水獭,1.0,0.8333333333333334,0.9090909090909091,12.0,0.8333333333333334
河马,1.0,1.0,1.0,12.0,1.0
浣熊,0.8571428571428571,1.0,0.923076923076923,12.0,1.0
海星,0.9230769230769231,1.0,0.9600000000000001,12.0,1.0
海豚,0.6875,0.9166666666666666,0.7857142857142857,12.0,0.9166666666666666
海豹,0.9230769230769231,1.0,0.9600000000000001,12.0,1.0
海马,1.0,0.75,0.8571428571428571,12.0,0.75
火烈鸟,1.0,0.9166666666666666,0.9565217391304348,12.0,0.9166666666666666
火鸡,1.0,0.9166666666666666,0.9565217391304348,12.0,0.9166666666666666
熊,1.0,0.9166666666666666,0.9565217391304348,12.0,0.9166666666666666
熊猫,0.9230769230769231,1.0,0.9600000000000001,12.0,1.0
牛,0.5625,0.75,0.6428571428571429,12.0,0.75
牡蛎,1.0,1.0,1.0,12.0,1.0
犀牛,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,0.9166666666666666
犀鸟,1.0,0.9166666666666666,0.9565217391304348,12.0,0.9166666666666666
狐狸,1.0,1.0,1.0,12.0,1.0
狗,0.7272727272727273,0.6666666666666666,0.6956521739130435,12.0,0.6666666666666666
狮子,1.0,1.0,1.0,12.0,1.0
狼,0.75,1.0,0.8571428571428571,12.0,1.0
猩猩,1.0,1.0,1.0,12.0,1.0
猪,0.75,0.75,0.75,12.0,0.75
猫,0.9,0.75,0.8181818181818182,12.0,0.75
猫头鹰,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,0.9166666666666666
獾,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,0.9166666666666666
瓢虫,0.8571428571428571,1.0,0.923076923076923,12.0,1.0
甲虫,0.875,0.5833333333333334,0.7000000000000001,12.0,0.5833333333333334
章鱼,0.9230769230769231,1.0,0.9600000000000001,12.0,1.0
羊,0.8,0.6666666666666666,0.7272727272727272,12.0,0.6666666666666666
羚羊,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,0.8333333333333334
老虎,1.0,1.0,1.0,12.0,1.0
老鼠,1.0,0.5833333333333334,0.7368421052631579,12.0,0.5833333333333334
考拉,1.0,1.0,1.0,12.0,1.0
苍蝇,0.75,1.0,0.8571428571428571,12.0,1.0
蚊子,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,0.9166666666666666
蚱蜢,0.9230769230769231,1.0,0.9600000000000001,12.0,1.0
蛇,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,0.8333333333333334
蛾,1.0,0.8333333333333334,0.9090909090909091,12.0,0.8333333333333334
蜂鸟,0.9230769230769231,1.0,0.9600000000000001,12.0,1.0
蜜蜂,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,0.9166666666666666
蜥蜴,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0,0.9166666666666666
蜻蜓,0.9230769230769231,1.0,0.9600000000000001,12.0,1.0
蝙蝠,0.75,0.75,0.75,12.0,0.75
蝴蝶,1.0,0.8333333333333334,0.9090909090909091,12.0,0.8333333333333334
蟑螂,1.0,0.8333333333333334,0.9090909090909091,12.0,0.8333333333333334
蟹,1.0,0.9166666666666666,0.9565217391304348,12.0,0.9166666666666666
袋熊,0.8571428571428571,1.0,0.923076923076923,12.0,1.0
袋鼠,1.0,0.9166666666666666,0.9565217391304348,12.0,0.9166666666666666
豪猪,0.8461538461538461,0.9166666666666666,0.8799999999999999,12.0,0.9166666666666666
豹,1.0,1.0,1.0,12.0,1.0
负鼠,0.8888888888888888,0.6666666666666666,0.761904761904762,12.0,0.6666666666666666
野牛,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,0.9166666666666666
野猪,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,0.8333333333333334
金鱼,1.0,1.0,1.0,12.0,1.0
霍加皮,0.9230769230769231,1.0,0.9600000000000001,12.0,1.0
马,0.6875,0.9166666666666666,0.7857142857142857,12.0,0.9166666666666666
驯鹿,0.8181818181818182,0.75,0.7826086956521738,12.0,0.75
驴,0.8181818181818182,0.75,0.7826086956521738,12.0,0.75
鬣狗,1.0,0.9166666666666666,0.9565217391304348,12.0,0.9166666666666666
鱿鱼,1.0,0.9166666666666666,0.9565217391304348,12.0,0.9166666666666666
鲨鱼,0.9230769230769231,1.0,0.9600000000000001,12.0,1.0
鲸鱼,0.8571428571428571,0.5,0.631578947368421,12.0,0.5
鸭,0.6923076923076923,0.75,0.7199999999999999,12.0,0.75
鸽子,1.0,1.0,1.0,12.0,1.0
鹅,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,0.8333333333333334
鹈鹕,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,0.8333333333333334
鹦鹉,1.0,0.8333333333333334,0.9090909090909091,12.0,0.8333333333333334
鹬,1.0,1.0,1.0,12.0,1.0
鹰,0.9230769230769231,1.0,0.9600000000000001,12.0,1.0
鹿,0.75,0.75,0.75,12.0,0.75
麻雀,1.0,1.0,1.0,12.0,1.0
黑猩猩,1.0,1.0,1.0,12.0,1.0
鼠,0.6111111111111112,0.9166666666666666,0.7333333333333334,12.0,0.9166666666666666
龙虾,0.8571428571428571,1.0,0.923076923076923,12.0,1.0
macro avg,0.9037881126364273,0.895131086142322,0.8947139260558128,1068.0,0.895131086142322
weighted avg,0.9037881126364272,0.8951310861423221,0.8947139260558128,1068.0,0.8951310861423226
